,name,close_approach_date,miss_distance_km,relative_velocity_kmh,is_potentially_hazardous,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_sentry_object,estimated_diameter_mean
2989,(2017 GM7),2024-06-02,35078859.09985838,70172.4417165536,True,18.94,433.0668854756,968.3669947276,False,700.7169401015999
2990,(2018 LB),2024-06-02,20085697.56305073,42105.0982157957,False,26.0,16.7708462163,37.5007521798,True,27.13579919805
2991,(2021 AR),2024-06-02,51675407.43585119,58378.2492020872,False,23.95,43.1077123878,96.3917752536,False,69.7497438207
2992,(2021 LR2),2024-06-02,65702543.38997593,73565.3004355112,False,24.99,26.7026877056,59.7090248917,False,43.20585629865
2993,(2021 UK),2024-06-02,70832052.67938738,26959.6445692136,False,24.71,30.3777061387,67.9266159267,False,49.15216103269999
2994,(2021 XF),2024-06-02,64869443.42851534,53393.3603700793,False,28.35,5.6827032339,12.706910727,False,9.19480698045
2995,(2022 DU4),2024-06-02,37117790.55320443,32020.0384709094,False,23.62,50.182810059,112.2121745938,False,81.1974923264
2996,(2023 KK4),2024-06-02,27399425.43838525,82385.0975838643,False,27.56,8.1762653336,18.282685088,False,13.2294752108
2997,(2023 XQ),2024-06-02,62764579.28705015,55428.7480915792,False,25.29,23.2570687455,52.0043866724,False,37.630727708950005
2998,(2024 ER2),2024-06-02,49524485.28168785,62507.810924221,True,20.41,220.0670271147,492.0848322348,False,356.07592967475
2999,(2024 JV14),2024-06-02,9110726.407042788,59757.0371446154,False,23.76,47.0494961121,105.2058716137,False,76.1276838629
3000,(2024 KJ1),2024-06-02,7802608.628166938,14828.1096220906,False,26.21,15.2249185036,34.043952726,False,24.6344356148
3001,(2024 LF1),2024-06-02,2723544.099554373,32177.3859265087,False,27.51,8.3667150189,18.7085435306,False,13.53762927475
