,name,close_approach_date,miss_distance_km,relative_velocity_kmh,is_potentially_hazardous,absolute_magnitude_h,estimated_diameter_min,estimated_diameter_max,is_sentry_object
5835,(2024 AZ),2023-12-27,43793113.7220141,15696.7416591425,False,23.45,54.2693945693,121.3500553547,False
5836,(2024 AA1),2023-12-27,20308608.861201633,26514.0546806683,False,23.35,56.827032339,127.0691072695,False
5837,(2024 JB17),2023-12-27,33729907.34070371,40530.5527929703,False,22.26,93.8760865307,209.9133109443,False
5838,251722 (1997 US2),2023-12-26,37031669.70732773,46989.1891156885,True,19.82,288.7719307574,645.7136671674,False
5839,310442 (2000 CH59),2023-12-26,9317702.375523632,48811.598659521,True,19.82,288.7719307574,645.7136671674,False
5840,361754 (2007 YV29),2023-12-26,72652517.23770235,90629.9426203067,True,19.18,387.7528303812,867.0416872003,False
5841,523728 (2014 ON344),2023-12-26,57012462.91594456,68442.5735764049,False,22.6,80.2703167283,179.4898847799,False
5842,(2016 BU),2023-12-26,66711733.2987978,68912.6441037502,False,26.7,12.14940408,27.1668934089,False
5843,(2018 XB5),2023-12-26,34636993.09794192,65890.2193168493,False,24.2,38.4197891064,85.9092601232,False
5844,(2019 RH1),2023-12-26,61196805.71191783,10825.1662964417,False,24.8,29.1443904535,65.1688382168,False
5845,(2020 BD8),2023-12-26,34427709.582316324,87094.3233522593,False,20.95,171.6148940774,383.7425691085,False
5846,(2021 WD3),2023-12-26,23205819.138387334,17924.9851485635,False,25.55,20.63264836,46.1360042888,False
5847,(2022 SV),2023-12-26,51152492.075529315,46029.5973638694,False,24.13,39.6784754066,88.7237682527,False
5848,(2022 YV5),2023-12-26,29040927.50095878,29790.147029342,False,25.27,23.4722637531,52.4855773378,False
5849,(2023 MQ),2023-12-26,72306411.37553668,28627.9539364565,False,27.49,8.4441312798,18.8816515525,True
5850,(2023 SE6),2023-12-26,46857744.764954366,60168.4594876742,False,21.5,133.2155666981,297.8790627982,False
5851,(2023 TE7),2023-12-26,52858360.626281805,35223.6377497089,False,22.34,90.4804968225,202.3205415331,False
5852,(2023 XO7),2023-12-26,2412846.736756441,24181.7835063532,False,25.92,17.4002295067,38.9080960011,False
5853,(2024 AE),2023-12-26,5108981.03585623,45593.2384392578,False,25.1,25.3837029364,56.7596852866,False
5854,(2024 AJ),2023-12-26,3189917.359172322,26350.7232931892,False,27.3,9.216265485,20.6081961232,False
5855,(2024 BP),2023-12-26,6987151.072630761,6103.3033963175,False,26.45,13.6318555865,30.4817557509,False
5856,(2024 KR),2023-12-26,67107860.21571516,54976.7927023675,True,21.59,127.8070988179,285.7853609639,False
5857,280491 (2004 MO7),2023-12-29,73748605.31789324,71359.6678602887,False,19.02,417.4024333919,933.340215038,False
5858,289227 (2004 XY60),2023-12-29,29028035.380918987,87675.0480798455,False,18.8,461.9074602816,1032.8564805039,False
5859,418849 (2008 WM64),2023-12-29,41079018.88215955,74416.0460319259,True,20.47,214.0695896707,478.6741544192,False
5860,(2010 UK),2023-12-29,52065376.949318714,59134.7310885889,False,26.8,11.6025908209,25.9441817907,True
5861,(2016 AH165),2023-12-29,35762419.36993062,29567.7853020036,False,21.96,107.7841687222,241.0127281611,False
5862,(2017 TF2),2023-12-29,60277124.5320954,40004.2574373614,False,20.3,231.5021222103,517.6544821978,False
5863,(2020 EC),2023-12-29,31832772.811868854,66753.9020409768,False,19.43,345.5850738412,772.7517171183,False
5864,(2020 FN3),2023-12-29,35161516.05193459,22282.0875022203,False,24.38,35.3634784299,79.07514169,False
5865,(2022 NK),2023-12-29,9067854.918734355,42656.3876291227,False,27.27,9.3444765092,20.8948846888,True
5866,(2023 MJ),2023-12-29,24148817.554774974,29654.3827207188,False,23.67,49.0405098418,109.6579136575,False
